table_name,column_name,total_rows,null_count,null_percent
stg_orders,order_id,99441,0,0.0
stg_orders,customer_id,99441,0,0.0
stg_orders,order_status,99441,0,0.0
stg_orders,order_purchase_timestamp,99441,0,0.0
stg_orders,order_delivered_customer_date,99441,2965,2.9817
stg_orders,order_estimated_delivery_date,99441,0,0.0
stg_order_items,order_id,112650,0,0.0
stg_order_items,order_item_id,112650,0,0.0
stg_order_items,product_id,112650,0,0.0
stg_order_items,seller_id,112650,0,0.0
stg_order_items,price,112650,0,0.0
stg_order_items,freight_value,112650,0,0.0
stg_customers,customer_id,99441,0,0.0
stg_customers,customer_unique_id,99441,0,0.0
stg_customers,customer_city,99441,0,0.0
stg_customers,customer_state,99441,0,0.0
stg_products,product_id,32951,0,0.0
stg_products,product_category_name,32951,610,1.8512
stg_products,product_weight_g,32951,2,0.0061
stg_products,product_length_cm,32951,2,0.0061
stg_products,product_height_cm,32951,2,0.0061
stg_products,product_width_cm,32951,2,0.0061
stg_sellers,seller_id,3095,0,0.0
stg_sellers,seller_city,3095,0,0.0
stg_sellers,seller_state,3095,0,0.0
